,Unnamed: 0,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,277,PS1-12brf,g,56176.4,-25.7,23.36,,PS1,1.4299999999999997,-32.799999999995634
1,278,PS1-12brf,g,56206.2,-2.4,24.13,,PS1,2.1999999999999993,-3.0
2,279,PS1-12brf,g,56209.2,0.0,21.93,0.05,PS1,0.0,0.0
3,280,PS1-12brf,g,56214.2,3.9,22.48,0.3,PS1,0.5500000000000007,5.0
4,281,PS1-12brf,g,56217.3,6.3,22.58,0.1,PS1,0.6499999999999986,8.10000000000582
5,282,PS1-12brf,g,56220.3,8.7,23.01,0.26,PS1,1.0800000000000018,11.10000000000582
6,283,PS1-12brf,r,56209.3,0.0,22.24,0.06,PS1,0.0,0.0
7,284,PS1-12brf,r,56213.3,3.2,22.7,0.23,PS1,0.46000000000000085,4.0
8,285,PS1-12brf,r,56217.3,6.3,22.6,0.11,PS1,0.360000000000003,8.0
9,286,PS1-12brf,r,56220.3,8.7,22.96,0.3,PS1,0.7200000000000024,11.0
10,287,PS1-12brf,r,56267.0,45.5,23.6,,IMACS,1.360000000000003,57.69999999999709
11,288,PS1-12brf,i,56174.3,-27.4,23.53,,PS1,1.4200000000000017,-39.0
12,289,PS1-12brf,i,56207.4,-1.5,23.4,0.18,PS1,1.2899999999999991,-5.900000000001455
13,290,PS1-12brf,i,56210.3,0.8,22.48,0.09,PS1,0.370000000000001,-3.0
14,291,PS1-12brf,i,56213.3,3.2,22.11,0.11,PS1,0.0,0.0
15,292,PS1-12brf,i,56215.2,4.7,22.34,0.11,PS1,0.23000000000000043,1.8999999999941792
16,293,PS1-12brf,i,56218.2,7.1,22.69,0.11,PS1,0.5800000000000018,4.899999999994179
17,294,PS1-12brf,i,56221.3,9.5,22.78,0.18,PS1,0.6700000000000017,8.0
18,295,PS1-12brf,i,56242.2,25.9,23.14,0.3,PS1,1.0300000000000011,28.89999999999418
19,296,PS1-12brf,i,56239.2,23.5,22.82,,PS1,0.7100000000000009,25.89999999999418
20,297,PS1-12brf,i,56267.0,45.5,23.3,,IMACS,1.1900000000000013,53.69999999999709
21,298,PS1-12brf,i,56284.2,58.8,23.75,,PS1,1.6400000000000006,70.89999999999418
22,299,PS1-12brf,z,56192.3,-13.3,23.43,,PS1,2.3999999999999986,-11.099999999998545
23,300,PS1-12brf,z,56203.4,-4.6,21.03,,PS1,0.0,0.0
24,301,PS1-12brf,z,56205.4,-3.0,23.87,,PS1,2.84,2.0
25,302,PS1-12brf,z,56208.4,-0.7,22.73,0.14,PS1,1.6999999999999993,5.0
26,303,PS1-12brf,z,56211.3,1.6,22.59,0.15,PS1,1.5599999999999987,7.900000000001455
27,304,PS1-12brf,z,56214.2,3.9,22.24,0.22,PS1,1.2099999999999973,10.799999999995634
28,305,PS1-12brf,z,56216.2,5.5,22.34,0.17,PS1,1.3099999999999987,12.799999999995634
29,306,PS1-12brf,z,56219.3,7.9,22.86,0.19,PS1,1.8299999999999983,15.900000000001455
30,307,PS1-12brf,z,56222.2,10.2,22.82,0.15,PS1,1.7899999999999991,18.799999999995634
31,308,PS1-12brf,z,56229.3,15.7,22.56,,PS1,1.5299999999999976,25.900000000001455
32,309,PS1-12brf,z,56283.2,58.0,22.89,,PS1,1.8599999999999994,79.79999999999563
