SN,absmag,band,error,jd,mag,normmag,survey,trel
PTF09uj.json,,r,0.05,55012.38,18.71,0.4000000000000021,,4.069999999999709
iPTF16asu.json,,g,0.13,57519.26,20.43,1.1799999999999995,P48,-2.029999999998836
iPTF16asu.json,,g,0.12,57520.25,19.8,0.5500000000000007,P48,-1.0400000000008731
iPTF16asu.json,,g,0.08,57520.28,19.69,0.4400000000000013,P48,-1.0100000000020373
iPTF16asu.json,,g,0.09,57521.26,19.34,0.08999999999999986,P48,-0.02999999999883585
iPTF16asu.json,,g,0.09,57521.29,19.25,0.0,P48,0.0
iPTF16asu.json,,g,0.09,57521.32,19.28,0.030000000000001137,P48,0.02999999999883585
iPTF16asu.json,,g,0.09,57525.4,19.38,0.129999999999999,P60,4.110000000000582
iPTF16asu.json,,g,0.07,57527.34,19.51,0.2600000000000016,P60,6.0499999999956335
iPTF16asu.json,,g,0.09,57535.33,20.43,1.1799999999999995,P60,14.040000000000873
iPTF16asu.json,,g,0.05,57538.34,20.87,1.620000000000001,P60,17.049999999995634
iPTF16asu.json,,g,0.07,57540.3,21.01,1.7600000000000016,P60,19.010000000002037
iPTF16asu.json,,g,0.08,57544.21,21.49,2.2399999999999984,P60,22.91999999999825
iPTF16asu.json,,g,0.11,57545.25,21.48,2.2300000000000004,P60,23.959999999999127
iPTF16asu.json,,g,0.09,57545.26,21.14,1.8900000000000008,P60,23.970000000001164
iPTF16asu.json,,g,0.13,57546.31,21.69,2.4400000000000013,P60,25.019999999996802
iPTF16asu.json,,i,0.14,57525.4,19.57,0.0,P60,0.0
iPTF16asu.json,,i,0.07,57527.33,19.66,0.08999999999999986,P60,1.9300000000002908
iPTF16asu.json,,i,0.05,57535.33,19.87,0.3000000000000007,P60,9.930000000000293
iPTF16asu.json,,i,0.05,57538.33,20.09,0.5199999999999996,P60,12.930000000000293
iPTF16asu.json,,i,0.06,57540.28,20.29,0.7199999999999989,P60,14.87999999999738
iPTF16asu.json,,i,0.05,57544.2,20.46,0.8900000000000006,P60,18.799999999995638
