9.86,15.83,0.06,9.86,15.54,0.11,9.86,15.17,0.22,WIYN
9.90,15.90,0.04,9.91,15.24,0.04,9.92,14.99,0.05,UKIRT
13.83,16.27,0.05,13.84,15.72,0.04,13.84,15.50,0.05,UKIRT
22.85,16.76,0.10,22.86,15.75,0.05,22.87,15.87,0.08,UKIRT
26.82,17.51,0.20,26.83,15.84,0.05,26.85,15.76,0.07,UKIRT
30.86,18.07,0.37,30.88,16.11,0.06,30.89,15.90,0.07,UKIRT
35.82,18.24,0.40,34.93,17.18,0.14,35.84,15.98,0.08,UKIRT
39.80,18.99,0.87,35.83,15.81,0.05,41.84,16.76,0.12,UKIRT
41.82,18.52,0.51,39.82,15.85,0.05,--,--,UKIRT
--,--,41.83,17.13,0.07,--,--,UKIRT
75.70,>20.06,75.70,>19.22,75.70,>19.03,MMT
3.06,13.95,0.05,3.06,13.96,0.05,3.06,12.53,0.05
3.79,14.15,0.05,3.79,14.28,0.07,3.78,12.92,0.07
5.26,14.83,0.11,3.79,14.25,0.05,3.79,12.89,0.05
5.26,14.73,0.05,5.25,15.02,0.08,5.25,13.42,0.07
6.26,15.03,0.12,5.25,14.96,0.05,5.25,13.46,0.05
6.26,15.03,0.05,6.25,15.23,0.09,6.25,13.71,0.08
6.84,15.18,0.13,6.25,15.23,0.05,6.25,13.72,0.05
6.84,15.19,0.06,6.84,15.35,0.09,6.84,13.88,0.08
9.18,15.73,0.06,6.84,15.37,0.05,6.84,13.85,0.05
10.18,15.87,0.08,9.17,15.88,0.05,6.64,13.83,0.05
11.24,15.96,0.07,10.17,15.88,0.06,9.17,14.49,0.05
12.96,16.14,0.07,11.24,16.09,0.06,10.17,14.63,0.06
14.29,16.14,0.07,12.96,16.20,0.05,11.10,14.80,0.05
15.22,16.31,0.08,14.29,16.30,0.05,11.23,14.78,0.05
16.36,16.51,0.08,15.21,16.49,0.06,11.23,14.82,0.06
16.64,16.63,0.09,16.35,16.64,0.06,12.95,14.90,0.05
18.35,16.78,0.10,16.64,16.63,0.06,14.28,15.07,0.06
21.34,16.96,0.11,18.34,16.88,0.07,15.14,15.27,0.05
21.73,16.87,0.10,20.20,16.88,0.07,15.21,15.29,0.05
22.72,16.98,0.10,21.33,17.11,0.07,15.21,15.26,0.06
23.79,17.02,0.11,21.72,17.18,0.07,16.35,15.49,0.06
24.78,17.13,0.12,22.72,17.19,0.07,16.64,15.50,0.06
25.72,17.21,0.12,23.79,17.21,0.07,18.34,15.71,0.06
26.32,17.38,0.14,24.78,17.36,0.08,18.83,15.80,0.05
27.01,17.30,0.10,25.72,17.52,0.08,20.20,15.86,0.07
29.31,17.35,0.15,26.32,17.53,0.09,21.33,16.04,0.07
31.09,17.34,0.11,27.01,17.54,0.07,21.72,16.05,0.07
27.98,17.27,0.09,29.31,17.68,0.10,22.71,16.20,0.07
33.50,17.25,0.11,31.09,17.67,0.08,23.79,16.35,0.07
36.80,17.39,0.11,27.97,17.55,0.07,24.78,16.34,0.07
34.81,17.57,0.12,33.49,17.83,0.08,25.71,16.54,0.08
38.69,17.73,0.11,36.80,17.80,0.08,26.32,16.64,0.08
41.72,17.57,0.12,34.80,17.87,0.08,27.01,16.64,0.07
40.73,17.47,0.13,38.82,18.02,0.09,29.38,16.79,0.08
39.93,17.52,0.12,38.46,17.92,0.10,31.09,16.89,0.08
46.50,17.62,0.12,41.71,18.12,0.09,27.97,16.76,0.07
45.44,17.69,0.13,40.73,18.03,0.10,33.49,17.14,0.09
43.78,17.68,0.13,39.92,18.27,0.10,36.80,17.35,0.09
47.96,17.80,0.21,46.49,18.18,0.10,39.19,17.47,0.07
46.93,17.64,0.13,45.43,18.04,0.09,34.80,17.21,0.08
60.14,17.72,0.12,43.77,18.08,0.09,40.73,17.44,0.10
54.46,17.85,0.27,47.96,18.18,0.13,44.60,17.64,0.08
52.27,17.90,0.11,46.92,18.24,0.11,41.71,17.45,0.09
49.95,17.54,0.10,54.46,18.24,0.20,47.23,17.66,0.08
57.71,17.67,0.18,52.27,18.23,0.08,49.95,17.76,0.10
55.83,17.80,0.13,49.95,18.06,0.08,57.55,17.93,0.16
--,--,60.14,18.44,0.10,54.19,17.89,0.08
--,--,57.71,18.48,0.18,60.14,17.93,0.11
--,--,55.82,18.19,0.09,--,--
3.06,11.84,0.06,3.06,11.55,0.07,3.07,11.68,0.06
3.78,12.07,0.06,3.79,11.82,0.09,3.79,11.94,0.06
5.25,12.77,0.09,3.79,11.85,0.07,5.05,12.63,0.06
6.25,12.98,0.09,5.06,12.47,0.07,5.26,12.63,0.07
6.84,13.33,0.10,5.26,12.60,0.09,6.26,12.95,0.06
6.12,12.95,0.06,5.26,12.59,0.07,6.85,13.34,0.06
