event,time,magnitude,e_magnitude,upperlimit,band,system,instrument,telescope,source
GW170817,57983.003059500006,17.480130787100002,0.02529849344005,F,i,AB,DECam,,2017ApJ...848L..17C
GW170817,57983.0037414,17.5902045028,0.02912213500222,F,z,AB,DECam,,2017ApJ...848L..17C
GW170817,57983.0057,17.41,0.02,F,g,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.009,17.88,0.03,F,J,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57983.0106,17.41,0.04,F,g,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.011,17.49,0.04,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57983.0141,17.39,0.02,F,g,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.0147755,17.1,0.2,F,W,AB,,MASTER,2017arXiv171005461L
GW170817,57983.018251,17.08,0.02,F,I,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.018251,17.15,0.01,F,R,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.018251,17.33,0.02,F,V,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.018251,17.47,0.02,F,i,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.019,17.46,0.01,F,Y,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57983.028,17.56,0.04,F,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57983.029,18.64,0.06,F,Ks,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57983.0300,18.41,0.15,F,Ks,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57983.039,17.82,0.03,F,J,AB,VIRCAM,VISTA,2017ApJ...848L..27T
GW170817,57983.05,17.320,0.070,F,g,AB,ROS2,REM,2017arXiv171005858P
GW170817,57983.05,16.984,0.050,F,i,AB,ROS2,REM,2017arXiv171005858P
GW170817,57983.05,17.140,0.080,F,r,AB,ROS2,REM,2017arXiv171005858P
GW170817,57983.05,16.854,0.100,F,z,AB,ROS2,REM,2017arXiv171005858P
GW170817,57983.059,18.42,0.04,F,Ks,AB,FLAMINGOS-2,Gemini-S,2017arXiv171005436K
GW170817,57983.059977,17.63,,F,B,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.059977,17.12,0.02,F,I,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.059977,17.17,0.01,F,R,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.059977,17.35,0.02,F,V,Vega,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.059977,17.51,0.02,F,i,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.059977,17.34,0.01,F,r,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.059977,17.59,,F,z,AB,LDSS,Magellan,2017Sci...358.1574S
GW170817,57983.155719,21.12,,F,M2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.162919,19.46,,F,W1,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.16719907407,18.2024703,0.08934450000000001,F,U,AB,UVOT,Swift,2017ApJ...848L..17C
GW170817,57983.167219,18.19,,F,U,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.171619,21.13,,F,W2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.229,17.40,0.01,F,z,AB,HSC,Subaru,2017arXiv171005848U
GW170817,57983.23125,17.24,0.06,F,i,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57983.23125,17.38,0.10,F,y,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57983.23125,17.26,0.06,F,z,AB,PS1,PAN-STARRS,2017arXiv171005841S
GW170817,57983.2319907,17.28,0.13,F,y,,GPC1,PS1,Transient Name Server
GW170817,57983.382,17.31,0.04,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57983.38678241,17.42,0.05,F,i,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57983.401,17.28,0.12,F,g,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57983.405,17.20,0.02,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57983.41925926,17.32,0.07,F,r,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57983.42064815,17.46,0.08,F,g,AB,skymapper,skymapper,2017arXiv171005846A
GW170817,57983.509444444455,18.9034076,0.1656082,F,U,AB,UVOT,Swift,2017ApJ...848L..17C
GW170817,57983.54987027,17.14,0.13,F,i,AB,AST3-2,AST3-2,"2017arXiv171011576V,2017arXiv171005462H"
GW170817,57983.569219,20.21,,F,W1,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.57148148147,18.980041,0.16237120000000002,F,U,AB,UVOT,Swift,2017ApJ...848L..17C
GW170817,57983.571619,19.00,,F,U,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.575419,21.45,,T,W2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.593719,22.52,,F,M2,AB,UVOT,Swift,2017arXiv171005437E
GW170817,57983.59437840,17.48,0.07,F,i,AB,AST3-2,AST3-2,"2017arXiv171011576V,2017arXiv171005462H"
GW170817,57983.62518802,17.58,0.09,F,i,AB,AST3-2,AST3-2,"2017arXiv171011576V,2017arXiv171005462H"
GW170817,57983.699,17.64,0.04,F,H,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57983.699,17.51,0.03,F,J,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57983.699,17.91,0.05,F,Ks,AB,SIRIUS,IRSF,2017arXiv171005848U
GW170817,57983.7171134,17.3,0.2,F,W,AB,,MASTER,2017arXiv171005461L
GW170817,57983.718519,18.47,0.11,F,B,AB,,SAAO,2017arXiv171005433T
GW170817,57983.718519,17.58,0.1,F,I,AB,,SAAO,2017arXiv171005433T
GW170817,57983.718519,17.65,0.05,F,R,AB,,SAAO,2017arXiv171005433T
GW170817,57983.718519,17.81,0.04,F,V,AB,,SAAO,2017arXiv171005433T
GW170817,57983.7264884,17.0,0.2,F,R,AB,,MASTER,2017arXiv171005461L
GW170817,57983.733,17.95,0.04,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57983.7360602,18.1,0.1,F,B,AB,,MASTER,2017arXiv171005461L
GW170817,57983.741,17.75,0.02,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57983.745,18.05,0.12,F,g,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57983.75833,17.89,0.03,F,r,AB,1.5B,,2017arXiv171005841S
