,SN,filter,jd,mag,abmag,error,survey
492,PS1-13cgt,g_P1,56475.4,-99.9,24.05,-99.9,PS1
493,PS1-13cgt,g_P1,56478.3,-99.9,24.27,-99.9,PS1
494,PS1-13cgt,g_P1,56480.4,-99.9,24.2,-99.9,PS1
495,PS1-13cgt,g_P1,56486.3,-99.9,21.85,0.05,PS1
496,PS1-13cgt,g_P1,56489.3,-99.9,21.82,0.07,PS1
497,PS1-13cgt,g_P1,56501.4,-99.9,23.06,0.21,PS1
498,PS1-13cgt,g_P1,56507.3,-99.9,24.15,-99.9,PS1
499,PS1-13cgt,g_P1,56512.3,-99.9,23.92,-99.9,PS1
500,PS1-13cgt,r_P1,56475.4,-99.9,24.33,-99.9,PS1
501,PS1-13cgt,r_P1,56478.3,-99.9,24.14,-99.9,PS1
502,PS1-13cgt,r_P1,56479.4,-99.9,24.3,-99.9,PS1
503,PS1-13cgt,r_P1,56486.3,-99.9,22.03,0.05,PS1
504,PS1-13cgt,r_P1,56489.3,-99.9,22.03,0.08,PS1
505,PS1-13cgt,r_P1,56501.4,-99.9,23.46,-99.9,PS1
506,PS1-13cgt,r_P1,56507.3,-99.9,23.27,0.19,PS1
507,PS1-13cgt,r_P1,56508.3,-99.9,23.38,0.13,PS1
508,PS1-13cgt,r_P1,56512.3,-99.9,23.4,0.22,PS1
509,PS1-13cgt,i_P1,56473.4,-99.9,24.05,-99.9,PS1
510,PS1-13cgt,i_P1,56476.4,-99.9,24.03,-99.9,PS1
511,PS1-13cgt,i_P1,56479.3,-99.9,24.44,-99.9,PS1
512,PS1-13cgt,i_P1,56481.3,-99.9,23.46,-99.9,PS1
513,PS1-13cgt,i_P1,56487.3,-99.9,22.0,0.05,PS1
514,PS1-13cgt,i_P1,56491.3,-99.9,22.13,0.06,PS1
515,PS1-13cgt,i_P1,56499.3,-99.9,22.54,-99.9,PS1
516,PS1-13cgt,i_P1,56502.3,-99.9,22.68,0.13,PS1
517,PS1-13cgt,i_P1,56505.4,-99.9,22.66,-99.9,PS1
518,PS1-13cgt,i_P1,56508.3,-99.9,23.25,0.15,PS1
519,PS1-13cgt,i_P1,56513.3,-99.9,23.39,0.15,PS1
520,PS1-13cgt,i_P1,56516.3,-99.9,23.82,-99.9,PS1
521,PS1-13cgt,i_P1,56520.3,-99.9,23.84,0.32,PS1
522,PS1-13cgt,z_P1,56477.3,-99.9,23.98,-99.9,PS1
523,PS1-13cgt,z_P1,56480.4,-99.9,23.62,-99.9,PS1
524,PS1-13cgt,z_P1,56482.3,-99.9,23.01,-99.9,PS1
525,PS1-13cgt,z_P1,56485.3,-99.9,22.11,0.18,PS1
526,PS1-13cgt,z_P1,56488.3,-99.9,21.98,0.07,PS1
527,PS1-13cgt,z_P1,56490.3,-99.9,21.71,0.09,PS1
528,PS1-13cgt,z_P1,56492.4,-99.9,22.08,0.09,PS1
529,PS1-13cgt,z_P1,56498.4,-99.9,22.19,0.15,PS1
530,PS1-13cgt,z_P1,56506.3,-99.9,23.25,0.28,PS1
531,PS1-13cgt,z_P1,56511.3,-99.9,23.27,0.26,PS1
532,PS1-13cgt,z_P1,56517.3,-99.9,23.88,-99.9,PS1
533,PS1-13cgt,z_P1,56519.3,-99.9,23.58,-99.9,PS1
534,PS1-13cgt,z_P1,56525.3,-99.9,23.33,-99.9,PS1
