# phase     R^true_U     R^true_B     R^true_V     R^true_R     R^true_I
   17.0     4.723325     4.040833     3.125705     2.600172     1.876988
   18.0     4.726096     4.034126     3.121879     2.594774     1.868788
   19.0     4.727794     4.030552     3.115069     2.593718     1.870727
   20.0     4.726972     4.026842     3.112374     2.594426     1.870816
   21.0     4.726884     4.025906     3.111156     2.594822     1.865958
   22.0     4.723350     4.021163     3.108756     2.593623     1.862482
   23.0     4.725730     4.021648     3.105787     2.591064     1.861650
   24.0     4.730157     4.023244     3.101105     2.587323     1.865129
   25.0     4.736075     4.025672     3.096396     2.581558     1.868108
   26.0     4.742762     4.027548     3.091747     2.574021     1.869308
   27.0     4.749795     4.023435     3.089071     2.567622     1.869526
   28.0     4.756454     4.024480     3.085278     2.564104     1.870500
   29.0     4.761904     4.028040     3.085881     2.564451     1.871652
   30.0     4.765200     4.031956     3.087033     2.563992     1.874183
   31.0     4.771383     4.032444     3.087316     2.565651     1.876834
   32.0     4.777581     4.030861     3.085744     2.567845     1.880027
   33.0     4.780011     4.028866     3.083922     2.570936     1.882617
   34.0     4.773629     4.029249     3.082616     2.574343     1.884056
   35.0     4.760778     4.030743     3.081669     2.577294     1.883494
   36.0     4.743854     4.032500     3.081473     2.580405     1.882019
   37.0     4.725298     4.033992     3.082567     2.583877     1.880155
   38.0     4.707607     4.036120     3.082111     2.587315     1.880009
   39.0     4.693322     4.038192     3.082650     2.589551     1.880984
   40.0     4.685040     4.040065     3.085476     2.591821     1.884067
   41.0     4.685404     4.037105     3.088544     2.594388     1.886411
   42.0     4.689315     4.033002     3.091452     2.594869     1.888418
   43.0     4.693952     4.028582     3.091887     2.591866     1.889875
   44.0     4.695687     4.025989     3.090950     2.586294     1.890589
   45.0     4.697421     4.023645     3.088956     2.579054     1.890375
   46.0     4.699156     4.022486     3.088715     2.571382     1.889630
   47.0     4.700891     4.021470     3.088193     2.563849     1.887997
   48.0     4.702625     4.021527     3.088184     2.558291     1.886533
   49.0     4.704360     4.025060     3.089433     2.556416     1.886200
   50.0     4.706094     4.029213     3.093973     2.559685     1.888497
   51.0     4.707829     4.033705     3.098664     2.565122     1.891498
   52.0     4.709563     4.037592     3.101861     2.572077     1.895220
   53.0     4.711298     4.039920     3.102223     2.578550     1.899201
   54.0     4.713172     4.040776     3.101707     2.585428     1.902746
   55.0     4.715012     4.040164     3.101195     2.591031     1.905671
   56.0     4.716680     4.038678     3.102080     2.594141     1.908967
   57.0     4.718081     4.035297     3.101569     2.593377     1.910742
   58.0     4.719156     4.030863     3.100576     2.587837     1.909802
   59.0     4.719886     4.027640     3.100035     2.579326     1.907239
   60.0     4.720290     4.023561     3.100941     2.569781     1.904280
   61.0     4.720426     4.020370     3.100978     2.561571     1.900697
   62.0     4.720391     4.018140     3.101287     2.554884     1.897019
