#epoch  167.1616 157.6685 151.0451 145.5886 140.8052 136.4690 132.4543 128.6823 125.0997 121.6683 118.3595 115.1508 112.0244 108.9657 105.9621 103.0030 100.0787 97.1808 94.3013 91.4326 88.5675 85.6989 82.8193 79.9214 76.9972 74.0380 71.0345 67.9757 64.8494 61.6407 58.3318 54.9004 51.3179 47.5459 43.5312 39.1950 34.4115 28.9550 22.3317 12.8386 
0.05 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.15 1532.4618 759.8273 478.1385 1054.6142 992.0716 1145.8330 1155.9063 309.1710 1908.6429 637.2325 1549.2222 1862.2788 390.8876 1485.9126 1540.6646 1311.9312 1819.4629 1410.2431 1485.7314 766.3771 865.9071 1806.5224 1158.9051 2910.1654 1943.3425 2466.8505 2617.5296 2622.0428 2509.3396 3196.4619 2462.6332 1699.3654 2073.3081 2151.4094 1157.3259 2602.7730 2918.9876 4219.5654 2540.1748 2629.3465 
0.25 1062.1346 1112.8250 1066.0140 511.4133 559.9733 1051.7104 308.6012 899.2077 719.9770 619.2060 305.8384 379.1930 585.4115 956.9068 791.4408 685.2608 589.5996 630.6332 536.8309 870.2908 396.2246 1013.7438 813.9044 160.8689 741.0733 1034.7196 419.0651 1287.6814 2051.8096 839.2027 179.9546 819.5986 877.4188 607.7455 1524.2126 1019.7748 525.5057 999.1517 464.5595 1152.8967 
0.35 1306.4469 979.5550 743.9631 925.0595 1063.7674 1119.8078 1236.2989 788.9792 771.7785 1852.9704 1316.0910 936.2466 1288.4421 729.1114 811.5796 847.6705 602.8139 657.4188 1849.7824 1410.1913 2398.3840 747.0570 1453.6748 2618.4350 1710.9193 1796.0265 1397.0103 1886.5123 1473.7083 1072.2976 1866.6593 1277.8936 2783.4485 2278.7508 1687.0026 2065.8122 2443.3980 1831.9664 2946.3758 1964.6186 
0.45 1344.0930 861.3376 1252.6938 1034.1839 941.9701 789.8686 1028.0488 1031.1932 904.5443 1528.9229 1976.4976 1412.1505 647.5102 906.9590 1584.8936 1867.3848 1575.7158 1612.0549 1214.1467 1929.4307 1585.9825 2253.1563 2211.6297 2662.0712 1621.0485 1949.5390 1943.7970 2388.5205 1582.1930 2180.8641 2365.6703 2565.8335 2593.2430 2389.3547 2606.1476 2301.7902 3149.6020 2822.0413 2020.7731 3413.8654 
0.55 645.2465 896.4377 733.8192 991.3396 1180.8034 1286.4363 1759.8875 1365.8184 1632.7611 987.4972 807.7504 1929.9376 2668.1372 1595.6983 1940.6283 1659.0987 1785.1730 1865.3332 1815.6932 2029.1659 2263.3509 2669.7715 2229.7544 2128.5632 2277.5150 2454.0526 2303.7854 2395.8502 2793.3180 2214.4246 2866.6625 3551.3632 2529.9565 3475.5676 4404.7792 3039.5271 3941.5173 3800.3224 3730.7233 3934.1227 
0.65 1119.7204 1559.6752 1652.9291 1871.5252 1786.9806 1813.9717 2040.7389 2544.6543 1603.7515 2465.2246 2922.2122 2065.3464 2345.8774 3223.5846 2363.1018 2196.0859 2138.3538 3040.6565 2958.7898 3038.0155 3043.6581 2458.4899 3265.8282 2769.2159 3318.1460 3146.2602 3232.8786 2979.4586 2872.3917 2973.8987 3146.7359 3527.2752 3860.7460 3620.8568 4632.8139 3684.4384 3944.8150 3470.9184 5093.0521 3225.3576 
0.75 1063.9500 1399.8988 1328.8664 1325.7057 1740.7284 1194.8598 1256.7447 1214.2366 1977.7306 1573.4585 1602.1090 1586.4790 1701.2280 2207.2134 2572.8633 2274.4078 1822.6036 2284.0112 2431.3600 2015.9172 2105.6802 3117.4191 2848.2267 3139.6261 3072.9895 3056.8497 3083.2226 3670.6699 4026.6242 3237.1977 3477.4159 3880.0334 4266.5166 4165.9995 3610.8991 4413.8464 3992.9438 4520.2997 3552.7837 3839.3326 
0.85 975.9593 1642.6663 1608.0644 1278.9363 1771.9324 1928.7482 2031.9237 2062.6654 2067.1527 2187.9774 2581.1692 2627.9782 2522.5229 2594.3725 2994.3800 2567.7683 3092.6653 2660.2275 2853.4569 3675.9968 3988.3575 2842.8425 3464.3823 3543.8499 4000.1197 3666.0163 4145.9604 4246.0962 4603.4196 4303.2814 3786.5421 4962.9176 3976.2628 4305.5435 6131.1637 3866.5518 4858.2111 4804.6406 5430.3507 5750.9321 
0.95 1120.6979 1048.6263 1482.5139 1952.2780 1908.1112 1594.3901 1567.1947 2239.1584 1828.9583 2136.8481 2153.6382 2116.4971 1973.9050 2693.9097 2373.3574 2952.1699 2664.1395 3089.0341 2070.5716 3101.4438 3358.8511 3050.6353 3776.8029 3174.0661 2987.9291 3690.6031 3243.6882 4232.6120 3669.3687 3488.8578 3485.1319 3700.5538 3917.6714 4719.9887 4298.4135 4744.1935 5921.1801 5234.3052 4714.2420 4574.0186 
