# %ECSV 0.9
# ---
# datatype:
# - {name: time-rel, datatype: float64}
# - {name: g, datatype: float64}
# - {name: i, datatype: float64}
# schema: astropy-2.0
time-rel g i
-422.0 26.97989453298877 25.747943405963163
-421.5 26.951019694820147 25.735956281214705
-421.0 26.922618983429977 25.724073067486025
-420.5 26.894759501596475 25.712221863845265
-420.0 26.867304817393666 25.700429140444307
-419.5 26.84033496564488 25.688729326772183
-419.0 26.813772249726867 25.67706223132381
-418.5 26.787618654310524 25.665457121591114
-418.0 26.761935770334325 25.65394460746014
-417.5 26.736583731206473 25.64245980813495
-417.0 26.711667014036973 25.631063660439114
-416.5 26.68715542482305 25.619702298055497
-416.0 26.66299584034318 25.60842178877548
-415.5 26.63910855505032 25.59723334885765
-415.0 26.61568706010066 25.586087010010022
-414.5 26.592506580151408 25.5750139777283
-414.0 26.569752341260745 25.563990474489934
-413.5 26.54726246784964 25.55303031667847
-413.0 26.525063420857805 25.542117029202732
-412.5 26.50323062334586 25.531326012219786
-412.0 26.481655639940485 25.520524344487097
-411.5 26.460417405474033 25.509864671120003
-411.0 26.439434432064136 25.49919375426601
-410.5 26.41874866283809 25.488631084936287
-410.0 26.398281109983873 25.478129930343904
-409.5 26.378073556446715 25.46764782888956
-409.0 26.358014743198737 25.45722579889848
-408.5 26.33818843740591 25.446823246041856
-408.0 26.31851025730826 25.43645741288659
-407.5 26.299092023784535 25.42614643481183
-407.0 26.27976901499942 25.415848875463958
-406.5 26.26065028826268 25.405595048215815
-406.0 26.241754818312554 25.39540536680528
-405.5 26.222983715181737 25.385253972101637
-405.0 26.20439179284351 25.37509950736398
-404.5 26.18597045036029 25.364991469295394
-404.0 26.167743583243713 25.35495459969704
-403.5 26.149631026218124 25.344934380540117
-403.0 26.131695131231176 25.33494177402988
-402.5 26.11393899576143 25.325036970439584
-402.0 26.09633609541217 25.31513288598401
-401.5 26.0789262475806 25.305249857899227
-401.0 26.061634951918812 25.295452693325498
-400.5 26.044530420686286 25.285682611982494
-400.0 26.02757085059502 25.275955857679282
-399.5 26.010778369850513 25.266249956200028
-399.0 25.994092193211642 25.2566163625734
-398.5 25.977592418601002 25.246995858882443
-398.0 25.96121735576793 25.237451914773118
-397.5 25.94498638783954 25.227917344822473
-397.0 25.92893187992402 25.21844294445171
-396.5 25.912988112536905 25.209005297215636
-396.0 25.897160700567746 25.199609270442693
-395.5 25.881520041096458 25.19027065415163
-395.0 25.866016595502337 25.180953559731822
-394.5 25.850599379926805 25.171692785094777
-394.0 25.835338934257827 25.16245905033187
-393.5 25.820201152022968 25.15329052556254
-393.0 25.805245346971834 25.14414892544876
-392.5 25.790393375955336 25.13504741680545
-392.0 25.77567901420214 25.12598245016823
-391.5 25.761084292691642 25.117011775722577
-391.0 25.746579213500112 25.108010839619723
-390.5 25.73221392826648 25.099096296172
-390.0 25.717981978061943 25.09021713463024
-389.5 25.70385756992347 25.081368395819425
-389.0 25.689896675621764 25.07258060306713
-388.5 25.676008376299908 25.063833144829974
-388.0 25.66224153808481 25.055123178203168
-387.5 25.64859442159403 25.046462670892254
-387.0 25.63505241664864 25.037814765559602
-386.5 25.6216162183756 25.029271485095038
-386.0 25.608325712494945 25.020697061822865
-385.5 25.595093780315686 25.012197051975235
-385.0 25.582017168504272 25.00376610196115
-384.5 25.569056139860553 24.99535909452952
-384.0 25.556144938083026 24.986958723869826
-383.5 25.543387708659022 24.978650784125534
-383.0 25.530749040247024 24.97037836204377
-382.5 25.518171143719147 24.962129130410304
-382.0 25.50569650980772 24.95392582477036
-381.5 25.493367980623916 24.94576080774972
-381.0 25.48109560932636 24.93764208144336
-380.5 25.46893740555605 24.929568276691644
-380.0 25.456863741156816 24.92151572237858
-379.5 25.444871700239865 24.913532784297598
-379.0 25.433022982229087 24.90558630509104
-378.5 25.421217623331064 24.897677465498585
-378.0 25.409550003131276 24.889797999054476
-377.5 25.39791168669069 24.881938486174615
-377.0 25.386367406294454 24.87410487786334
-376.5 25.37485740012805 24.866300976141122
-376.0 25.363448797537043 24.85855915400331
-375.5 25.3520969504996 24.850805643480122
-375.0 25.34080391145696 24.843109435133567
-374.5 25.32958434395524 24.835414627054845
-374.0 25.318435017347753 24.827755363544487
-373.5 25.307321303836776 24.820130142371575
-373.0 25.296292260358037 24.812498001914854
-372.5 25.2853503264604 24.80494403192788
-372.0 25.274417082022474 24.79738033662035
-371.5 25.263569502828574 24.78986458016269
-371.0 25.25279992520864 24.782379924979736
-370.5 25.24208933986821 24.774911970111187
-370.0 25.231421740652443 24.767452370997898
-369.5 25.220807911907453 24.76003912866288
-369.0 25.210302981943542 24.752653582497715
-368.5 25.199824730763485 24.74531918024652
-368.0 25.189426982870792 24.737963736928165
-367.5 25.17907745265344 24.730696620945878
-367.0 25.168788603655436 24.72342132658374
-366.5 25.158562368463325 24.716182013702927
-366.0 25.148389015714898 24.708976902764924
-365.5 25.138280829291645 24.701788296549058
-365.0 25.128217505388818 24.694642535639293
-364.5 25.118231758863217 24.68749376689174
-364.0 25.108306598499105 24.680395498089318
-363.5 25.098442112363646 24.673316745986362
-363.0 25.0886158094728 24.666308026336168
