,Unnamed: 0,Unnamed: 0.1,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,0,365,PS1-10iu,g,55332.4,,23.92,,PS1,2.2600000000000016,-21.0
1,1,366,PS1-10iu,g,55335.4,,23.5,,PS1,1.8399999999999999,-18.0
2,2,367,PS1-10iu,g,55338.4,,22.55,,PS1,0.8900000000000006,-15.0
3,3,368,PS1-10iu,g,55347.4,,22.77,,PS1,1.1099999999999994,-6.0
4,4,369,PS1-10iu,g,55350.5,,23.79,,PS1,2.129999999999999,-2.900000000001455
5,5,370,PS1-10iu,g,55353.4,,21.66,0.05,PS1,0.0,0.0
6,6,371,PS1-10iu,g,55362.4,,21.86,0.11,PS1,0.1999999999999993,9.0
7,7,372,PS1-10iu,g,55365.3,,22.36,0.1,PS1,0.6999999999999993,11.900000000001455
8,8,373,PS1-10iu,g,55368.4,,22.78,0.26,PS1,1.120000000000001,15.0
9,9,374,PS1-10iu,g,55377.4,,23.28,0.34,PS1,1.620000000000001,24.0
10,10,375,PS1-10iu,g,55389.3,,24.08,0.32,PS1,2.419999999999998,35.900000000001455
11,11,376,PS1-10iu,g,55407.3,,23.45,,PS1,1.7899999999999991,53.900000000001455
12,12,377,PS1-10iu,g,55413.3,,24.12,,PS1,2.460000000000001,59.900000000001455
13,13,378,PS1-10iu,g,55416.3,,23.61,,PS1,1.9499999999999993,62.900000000001455
14,14,379,PS1-10iu,r,55332.4,,23.9,,PS1,1.8299999999999983,-21.0
15,15,380,PS1-10iu,r,55335.4,,23.14,,PS1,1.0700000000000003,-18.0
16,16,381,PS1-10iu,r,55347.5,,23.56,,PS1,1.4899999999999984,-5.900000000001455
17,17,382,PS1-10iu,r,55350.5,,23.51,,PS1,1.4400000000000013,-2.900000000001455
18,18,383,PS1-10iu,r,55353.4,,22.07,0.07,PS1,0.0,0.0
19,19,384,PS1-10iu,r,55362.4,,22.12,0.11,PS1,0.05000000000000071,9.0
20,20,385,PS1-10iu,r,55365.3,,22.46,0.11,PS1,0.39000000000000057,11.900000000001455
21,21,386,PS1-10iu,r,55368.4,,22.7,0.13,PS1,0.629999999999999,15.0
22,22,387,PS1-10iu,r,55377.5,,23.22,0.22,PS1,1.1499999999999986,24.099999999998545
23,23,388,PS1-10iu,r,55389.3,,23.75,0.29,PS1,1.6799999999999997,35.900000000001455
24,24,389,PS1-10iu,r,55407.4,,23.83,,PS1,1.759999999999998,54.0
25,25,390,PS1-10iu,r,55416.3,,23.84,,PS1,1.7699999999999996,62.900000000001455
26,26,391,PS1-10iu,r,55422.3,,22.59,,PS1,0.5199999999999996,68.90000000000146
27,27,392,PS1-10iu,i,55327.6,,23.88,,PS1,1.3699999999999974,-35.900000000001455
28,28,393,PS1-10iu,i,55330.4,,23.94,,PS1,1.4299999999999997,-33.099999999998545
29,29,394,PS1-10iu,i,55348.4,,23.45,,PS1,0.9399999999999977,-15.099999999998545
30,30,395,PS1-10iu,i,55363.5,,22.51,0.12,PS1,0.0,0.0
31,31,396,PS1-10iu,i,55366.3,,22.86,0.11,PS1,0.34999999999999787,2.8000000000029104
32,32,397,PS1-10iu,i,55378.4,,23.4,0.19,PS1,0.889999999999997,14.900000000001455
33,33,398,PS1-10iu,i,55408.3,,23.26,,PS1,0.75,44.80000000000291
34,34,399,PS1-10iu,i,55411.4,,23.82,,PS1,1.3099999999999987,47.900000000001455
35,35,400,PS1-10iu,i,55414.3,,23.85,,PS1,1.3399999999999999,50.80000000000291
36,36,401,PS1-10iu,z,55328.6,,23.04,,PS1,1.25,-29.900000000001455
37,37,402,PS1-10iu,z,55337.5,,23.06,,PS1,1.2699999999999996,-21.0
38,38,403,PS1-10iu,z,55352.5,,23.18,0.32,PS1,1.3900000000000006,-6.0
39,39,404,PS1-10iu,z,55358.5,,21.79,0.17,PS1,0.0,0.0
40,40,405,PS1-10iu,z,55361.4,,22.8,0.23,PS1,1.0100000000000016,2.900000000001455
41,41,406,PS1-10iu,z,55364.4,,22.27,0.31,PS1,0.4800000000000004,5.900000000001455
42,42,407,PS1-10iu,z,55367.3,,23.35,,PS1,1.5600000000000023,8.80000000000291
43,43,408,PS1-10iu,z,55376.4,,23.11,,PS1,1.3200000000000003,17.900000000001455
44,44,409,PS1-10iu,z,55379.3,,23.4,0.28,PS1,1.6099999999999994,20.80000000000291
45,45,410,PS1-10iu,z,55406.4,,23.44,,PS1,1.6500000000000021,47.900000000001455
46,46,411,PS1-10iu,z,55409.3,,23.03,,PS1,1.240000000000002,50.80000000000291
47,47,412,PS1-10iu,z,55412.4,,23.21,,PS1,1.4200000000000017,53.900000000001455
