,Unnamed: 0,Unnamed: 0.1,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,0,228,PS1-12bv,g,55947.6,-1.4,21.78,0.05,PS1,0.08999999999999986,-2.0
1,1,229,PS1-12bv,g,55949.6,0.0,21.69,0.05,PS1,0.0,0.0
2,2,230,PS1-12bv,g,55952.6,2.1,21.8,0.04,PS1,0.10999999999999943,3.0
3,3,231,PS1-12bv,g,55955.7,4.3,22.03,0.07,PS1,0.33999999999999986,6.099999999998545
4,4,232,PS1-12bv,g,55970.6,14.9,23.31,,PS1,1.6199999999999974,21.0
5,5,233,PS1-12bv,g,55973.6,17.1,23.5,,PS1,1.8099999999999987,24.0
6,6,234,PS1-12bv,g,55981.6,22.7,24.06,,PS1,2.3699999999999974,32.0
7,7,235,PS1-12bv,g,55984.6,24.9,24.24,,PS1,2.549999999999997,35.0
8,8,236,PS1-12bv,g,56000.5,36.2,23.86,,PS1,2.169999999999998,50.900000000001455
9,9,237,PS1-12bv,g,56006.5,40.5,24.02,,PS1,2.3299999999999983,56.900000000001455
10,10,238,PS1-12bv,r,55947.6,-1.4,21.87,0.05,PS1,0.0,0.0
11,11,239,PS1-12bv,r,55952.6,2.1,22.01,0.05,PS1,0.14000000000000057,5.0
12,12,240,PS1-12bv,r,55970.6,15.0,23.41,,PS1,1.5399999999999991,23.0
13,13,241,PS1-12bv,r,55973.6,17.1,23.49,,PS1,1.6199999999999974,26.0
14,14,242,PS1-12bv,r,55977.6,19.9,22.87,,PS1,1.0,30.0
15,15,243,PS1-12bv,r,55981.6,22.8,23.58,,PS1,1.7099999999999973,34.0
16,16,244,PS1-12bv,r,55984.6,24.9,23.99,,PS1,2.1199999999999974,37.0
17,17,245,PS1-12bv,r,56000.5,36.2,24.21,,PS1,2.34,52.900000000001455
18,18,246,PS1-12bv,r,56006.5,40.5,23.68,,PS1,1.8099999999999987,58.900000000001455
19,19,247,PS1-12bv,i,55939.6,-7.1,23.56,,PS1,1.4800000000000004,-9.0
20,20,248,PS1-12bv,i,55945.6,-2.8,22.53,0.06,PS1,0.45000000000000284,-3.0
21,21,249,PS1-12bv,i,55948.6,-0.7,22.08,0.06,PS1,0.0,0.0
22,22,250,PS1-12bv,i,55956.6,5.0,22.34,0.06,PS1,0.26000000000000156,8.0
23,23,251,PS1-12bv,i,55960.7,7.8,22.91,0.1,PS1,0.8300000000000018,12.099999999998545
24,24,252,PS1-12bv,i,55968.6,13.5,23.66,0.23,PS1,1.5800000000000018,20.0
25,25,253,PS1-12bv,i,55971.6,15.7,23.76,0.3,PS1,1.6800000000000033,23.0
26,26,254,PS1-12bv,i,55977.6,19.9,23.12,,PS1,1.0400000000000027,29.0
27,27,255,PS1-12bv,i,55979.6,21.3,23.59,,PS1,1.5100000000000016,31.0
28,28,256,PS1-12bv,i,55985.6,25.6,24.18,,PS1,2.1000000000000014,37.0
29,29,257,PS1-12bv,i,55998.5,34.8,23.59,,PS1,1.5100000000000016,49.900000000001455
30,30,258,PS1-12bv,i,56001.6,37.0,23.66,,PS1,1.5800000000000018,53.0
31,31,259,PS1-12bv,i,56007.5,41.2,23.86,,PS1,1.7800000000000011,58.900000000001455
32,32,260,PS1-12bv,z,55935.6,-10.0,23.83,,PS1,1.7099999999999973,-14.0
33,33,261,PS1-12bv,z,55940.6,-6.4,23.0,,PS1,0.879999999999999,-9.0
34,34,262,PS1-12bv,z,55946.7,-2.1,22.57,0.18,PS1,0.4499999999999993,-2.900000000001455
35,35,263,PS1-12bv,z,55949.6,0.0,22.12,0.11,PS1,0.0,0.0
36,36,264,PS1-12bv,z,55951.6,1.4,22.19,0.08,PS1,0.07000000000000028,2.0
37,37,265,PS1-12bv,z,55954.6,3.6,22.24,0.08,PS1,0.11999999999999744,5.0
38,38,266,PS1-12bv,z,55957.6,5.7,22.73,0.09,PS1,0.6099999999999994,8.0
39,39,267,PS1-12bv,z,55959.6,7.1,22.62,0.22,PS1,0.5,10.0
40,40,268,PS1-12bv,z,55961.7,8.6,22.8,0.23,PS1,0.6799999999999997,12.099999999998545
41,41,269,PS1-12bv,z,55967.5,12.7,23.45,,PS1,1.3299999999999983,17.900000000001455
42,42,270,PS1-12bv,z,55969.6,14.2,23.03,,PS1,0.9100000000000001,20.0
43,43,271,PS1-12bv,z,55975.6,18.5,22.22,,PS1,0.09999999999999787,26.0
44,44,272,PS1-12bv,z,55983.6,24.2,22.65,,PS1,0.5299999999999976,34.0
45,45,273,PS1-12bv,z,55988.6,27.7,23.39,,PS1,1.2699999999999996,39.0
46,46,274,PS1-12bv,z,55997.5,34.1,22.96,,PS1,0.8399999999999999,47.900000000001455
47,47,275,PS1-12bv,z,56002.6,37.7,23.35,,PS1,1.2300000000000004,53.0
48,48,276,PS1-12bv,z,56005.6,39.8,23.44,,PS1,1.3200000000000003,56.0
