,SN,band,jd,absmag,mag,error,survey
277,PS1-12brf,g,56176.4,-25.7,23.36,-99.9,PS1
278,PS1-12brf,g,56206.2,-2.4,24.13,-99.9,PS1
279,PS1-12brf,g,56209.2,0.0,21.93,0.05,PS1
280,PS1-12brf,g,56214.2,3.9,22.48,0.3,PS1
281,PS1-12brf,g,56217.3,6.3,22.58,0.1,PS1
282,PS1-12brf,g,56220.3,8.7,23.01,0.26,PS1
283,PS1-12brf,r,56209.3,0.0,22.24,0.06,PS1
284,PS1-12brf,r,56213.3,3.2,22.7,0.23,PS1
285,PS1-12brf,r,56217.3,6.3,22.6,0.11,PS1
286,PS1-12brf,r,56220.3,8.7,22.96,0.3,PS1
287,PS1-12brf,r,56267.0,45.5,23.6,-99.9,IMACS
288,PS1-12brf,i,56174.3,-27.4,23.53,-99.9,PS1
289,PS1-12brf,i,56207.4,-1.5,23.4,0.18,PS1
290,PS1-12brf,i,56210.3,0.8,22.48,0.09,PS1
291,PS1-12brf,i,56213.3,3.2,22.11,0.11,PS1
292,PS1-12brf,i,56215.2,4.7,22.34,0.11,PS1
293,PS1-12brf,i,56218.2,7.1,22.69,0.11,PS1
294,PS1-12brf,i,56221.3,9.5,22.78,0.18,PS1
295,PS1-12brf,i,56242.2,25.9,23.14,0.3,PS1
296,PS1-12brf,i,56239.2,23.5,22.82,-99.9,PS1
297,PS1-12brf,i,56267.0,45.5,23.3,-99.9,IMACS
298,PS1-12brf,i,56284.2,58.8,23.75,-99.9,PS1
299,PS1-12brf,z,56192.3,-13.3,23.43,-99.9,PS1
300,PS1-12brf,z,56203.4,-4.6,21.03,-99.9,PS1
301,PS1-12brf,z,56205.4,-3.0,23.87,-99.9,PS1
302,PS1-12brf,z,56208.4,-0.7,22.73,0.14,PS1
303,PS1-12brf,z,56211.3,1.6,22.59,0.15,PS1
304,PS1-12brf,z,56214.2,3.9,22.24,0.22,PS1
305,PS1-12brf,z,56216.2,5.5,22.34,0.17,PS1
306,PS1-12brf,z,56219.3,7.9,22.86,0.19,PS1
307,PS1-12brf,z,56222.2,10.2,22.82,0.15,PS1
308,PS1-12brf,z,56229.3,15.7,22.56,-99.9,PS1
309,PS1-12brf,z,56283.2,58.0,22.89,-99.9,PS1
