,SN,band,jd,absmag,mag,error,survey
413,PS1-13aea,g,56371.5,-99.9,23.5,-99.9,PS1
414,PS1-13aea,g,56384.5,-99.9,23.09,-99.9,PS1
415,PS1-13aea,g,56387.5,-99.9,21.44,0.08,PS1
416,PS1-13aea,g,56390.4,-99.9,22.33,0.19,PS1
417,PS1-13aea,g,56398.5,-99.9,23.09,-99.9,PS1
418,PS1-13aea,g,56401.3,-99.9,23.54,-99.9,PS1
419,PS1-13aea,g,56416.4,-99.9,23.39,-99.9,PS1
420,PS1-13aea,g,56421.3,-99.9,24.09,-99.9,PS1
421,PS1-13aea,g,56427.3,-99.9,23.62,-99.9,PS1
422,PS1-13aea,r,56371.5,-99.9,23.6,-99.9,PS1
423,PS1-13aea,r,56384.5,-99.9,23.28,-99.9,PS1
424,PS1-13aea,r,56387.5,-99.9,21.23,0.07,PS1
425,PS1-13aea,r,56390.4,-99.9,22.03,0.2,PS1
426,PS1-13aea,r,56398.5,-99.9,22.39,0.15,PS1
427,PS1-13aea,r,56401.3,-99.9,22.64,0.13,PS1
428,PS1-13aea,r,56416.4,-99.9,23.23,0.26,PS1
429,PS1-13aea,r,56420.4,-99.9,23.72,0.34,PS1
430,PS1-13aea,r,56427.3,-99.9,23.64,-99.9,PS1
431,PS1-13aea,r,56430.4,-99.9,23.5,-99.9,PS1
432,PS1-13aea,i,56369.4,-99.9,23.49,-99.9,PS1
433,PS1-13aea,i,56385.5,-99.9,21.51,0.05,PS1
434,PS1-13aea,i,56388.5,-99.9,21.5,0.06,PS1
435,PS1-13aea,i,56391.4,-99.9,22.29,0.08,PS1
436,PS1-13aea,i,56393.3,-99.9,22.85,0.14,PS1
437,PS1-13aea,i,56396.5,-99.9,23.11,-99.9,PS1
438,PS1-13aea,i,56399.4,-99.9,23.76,0.32,PS1
439,PS1-13aea,i,56403.4,-99.9,23.5,-99.9,PS1
440,PS1-13aea,i,56414.4,-99.9,23.54,0.34,PS1
441,PS1-13aea,i,56417.4,-99.9,23.91,-99.9,PS1
442,PS1-13aea,i,56420.4,-99.9,24.35,-99.9,PS1
443,PS1-13aea,i,56422.3,-99.9,24.19,-99.9,PS1
444,PS1-13aea,z,56370.4,-99.9,23.81,-99.9,PS1
445,PS1-13aea,z,56383.5,-99.9,23.2,-99.9,PS1
446,PS1-13aea,z,56386.3,-99.9,21.34,0.07,PS1
447,PS1-13aea,z,56389.5,-99.9,21.08,0.06,PS1
448,PS1-13aea,z,56392.3,-99.9,22.05,0.13,PS1
449,PS1-13aea,z,56397.4,-99.9,22.79,0.29,PS1
450,PS1-13aea,z,56400.4,-99.9,22.45,-99.9,PS1
451,PS1-13aea,z,56402.3,-99.9,23.07,-99.9,PS1
452,PS1-13aea,z,56404.3,-99.9,23.15,-99.9,PS1
453,PS1-13aea,z,56410.4,-99.9,23.11,-99.9,PS1
454,PS1-13aea,z,56412.4,-99.9,23.19,-99.9,PS1
455,PS1-13aea,z,56415.4,-99.9,23.25,-99.9,PS1
456,PS1-13aea,z,56421.4,-99.9,23.71,-99.9,PS1
