,SN,band,jd,absmag,mag,error,survey
310,PS1-13duy,g,56596.2,-3.9,21.5,0.08,PS1
311,PS1-13duy,g,56601.2,0.0,20.84,0.1,PS1
312,PS1-13duy,r,56571.2,-23.6,23.84,-99.9,PS1
313,PS1-13duy,r,56590.3,-8.6,24.12,-99.9,PS1
314,PS1-13duy,r,56593.3,-6.3,23.96,-99.9,PS1
315,PS1-13duy,r,56596.3,-3.9,21.83,0.08,PS1
316,PS1-13duy,r,56597.3,-3.1,21.46,0.04,PS1
317,PS1-13duy,r,56626.2,19.7,22.45,-99.9,PS1
318,PS1-13duy,i,56575.3,-20.4,23.91,-99.9,PS1
319,PS1-13duy,i,56588.4,-10.1,24.0,-99.9,PS1
320,PS1-13duy,i,56597.2,-3.1,21.66,0.05,PS1
321,PS1-13duy,i,56599.3,-1.6,21.25,0.05,PS1
322,PS1-13duy,i,56602.3,0.8,21.28,0.17,PS1
323,PS1-13duy,i,56626.2,19.7,22.56,-99.9,PS1
324,PS1-13duy,z,56570.3,-24.4,23.42,-99.9,PS1
325,PS1-13duy,z,56584.3,-13.3,23.15,-99.9,PS1
326,PS1-13duy,z,56589.3,-9.4,23.27,-99.9,PS1
327,PS1-13duy,z,56592.3,-7.1,23.58,-99.9,PS1
328,PS1-13duy,z,56595.2,-4.7,23.17,0.22,PS1
329,PS1-13duy,z,56600.3,-0.8,21.49,0.1,PS1
330,PS1-13duy,z,56613.3,9.5,22.67,0.2,PS1
331,PS1-13duy,z,56628.2,21.3,22.86,-99.9,PS1
