time,band,flux,fluxerr,zp,zpsys,mag
-23.900000000000002,desi,23494278.840492286,4850.634494544969,50.0,ab,8.863399157928544
-23.8,desi,35246740.39827696,5939.426108598757,50.0,ab,8.423007055448327
-23.700000000000003,desi,46998729.94613378,6857.4711081665555,50.0,ab,8.110589149823397
-23.6,desi,58751782.23239457,7666.357511828815,50.0,ab,7.8682518414308085
-23.5,desi,70473479.37214473,8397.688074643469,50.0,ab,7.670740170694504
-23.400000000000002,desi,82234000.0009628,9070.242141136236,50.0,ab,7.503175916064354
-23.3,desi,93975980.75752257,9696.258041052677,50.0,ab,7.358262287997395
-23.200000000000003,desi,105723467.5330192,10284.237818064747,50.0,ab,7.230375958183128
-23.1,desi,117463368.54929823,10840.372456624737,50.0,ab,7.116048327189457
-23.0,desi,129228025.96029079,11369.336062329352,50.0,ab,7.012412679410335
-22.900000000000002,desi,141004709.38283592,11874.760208021791,50.0,ab,6.917720410553688
-22.8,desi,152728519.4513335,12359.533061481417,50.0,ab,6.8310041007154965
-22.700000000000003,desi,164470526.38379544,12825.850643643018,50.0,ab,6.750584249111782
-22.6,desi,190334983.50994983,13798.047396199949,50.0,ab,6.592007908012416
-22.5,desi,218081953.6329783,14768.963237711027,50.0,ab,6.444255132475625
-22.400000000000002,desi,247670540.08782393,15739.138804734932,50.0,ab,6.306118577034745
-22.3,desi,279134492.10197943,16708.989006393676,50.0,ab,6.176270693237914
-22.200000000000003,desi,312499583.74497473,17678.837662428778,50.0,ab,6.053680847062434
-22.1,desi,347751593.87865376,18648.941225317158,50.0,ab,5.937631632027429
-22.0,desi,384861880.5633667,19619.505418911423,50.0,ab,5.827542210957581
-21.900000000000002,desi,423928940.9279581,20590.69715529395,50.0,ab,5.722571789677122
-21.8,desi,464920047.7003583,21562.653229015774,50.0,ab,5.62235877081886
-21.700000000000003,desi,507811098.215635,22535.486765508173,50.0,ab,5.526548984666579
-21.6,desi,552666931.019258,23509.292074971196,50.0,ab,5.434645756975822
-21.5,desi,599467304.8153191,24484.148355067406,50.0,ab,5.3463907013251095
-21.400000000000002,desi,648185027.5249575,25460.12254983805,50.0,ab,5.26155696751632
-21.3,desi,698899245.8525609,26437.271581617777,50.0,ab,5.179768025422405
-21.200000000000003,desi,750788415.5716927,27401.314395138437,50.0,ab,5.102010547608096
-21.1,desi,803352934.9845726,28343.92289132299,50.0,ab,5.028538493335759
-21.0,desi,856920073.9581113,29273.17285587708,50.0,ab,4.958453663531113
-20.900000000000002,desi,911761818.3455131,30196.118966339407,50.0,ab,4.891100951569406
-20.8,desi,968381250.1731838,31118.970694943942,50.0,ab,4.82568852497284
-20.700000000000003,desi,1027018464.6438798,32047.22103406384,50.0,ab,4.7618588255517444
-20.6,desi,1087983993.3168423,32985.74290227738,50.0,ab,4.6992481901338685
-20.5,desi,1151781645.9679,33938.863137198445,50.0,ab,4.6373790709965945
-20.400000000000002,desi,1218731738.8950415,34910.42082534813,50.0,ab,4.576034151495669
-20.3,desi,1288994066.7713132,35903.81464124812,50.0,ab,4.515177159283098
-20.200000000000003,desi,1363227866.3378863,36922.04245869678,50.0,ab,4.454383317250926
-20.1,desi,1441550596.5705779,37967.73551707742,50.0,ab,4.39372972962089
-20.0,desi,1524362893.117211,39043.18873014373,50.0,ab,4.333083534061505
-19.900000000000002,desi,1612130870.2886014,40150.38822472533,50.0,ab,4.272303719408814
-19.8,desi,1702277784.6302304,41258.770619189105,50.0,ab,4.213228376353403
-19.700000000000003,desi,1792996680.6491203,42344.66655813104,50.0,ab,4.156855741145286
-19.6,desi,1885223485.9049513,43419.250525300784,50.0,ab,4.102397351259238
-19.5,desi,1979552906.75733,44492.60035815843,50.0,ab,4.049386671376855
-19.400000000000002,desi,2076906008.606735,45573.84162126959,50.0,ab,3.9972623481149903
-19.3,desi,2178138408.0123506,46671.25153125279,50.0,ab,3.9455907720886323
-19.200000000000003,desi,2284117462.18954,47792.334820501004,50.0,ab,3.8940083700002575
-19.1,desi,2395588203.5331197,48943.88038631715,50.0,ab,3.8422740404327627
-19.0,desi,2513256544.8995595,50132.005160022956,50.0,ab,3.790212399551482
-18.900000000000002,desi,2637975209.5866346,51362.18991362773,50.0,ab,3.737627680192812
-18.8,desi,2770883604.969759,52639.310445639996,50.0,ab,3.684258747572027
-18.700000000000003,desi,2912508358.4681654,53967.66660340812,50.0,ab,3.6301365040516593
-18.6,desi,3063573840.41404,55351.01082041199,50.0,ab,3.5752335738797427
-18.5,desi,3225394697.13863,56792.577223718945,50.0,ab,3.5193472860644484
-18.400000000000002,desi,3397028315.8292933,58284.4888705968,50.0,ab,3.4630565377087343
-18.3,desi,3577567757.0030284,59812.8113848651,50.0,ab,3.4068347855721477
-18.200000000000003,desi,3766476135.2327447,61371.73799566765,50.0,ab,3.3509664049328585
-18.1,desi,3963516121.2143426,62955.986274393385,50.0,ab,3.295602882585225
-18.0,desi,4168118528.427915,64560.7579231554,50.0,ab,3.240954303888927
-17.9,desi,4379923978.894953,66181.69762429393,50.0,ab,3.1871380234368836
-17.8,desi,4598802478.018623,67814.85255147147,50.0,ab,3.134192563283328
-17.700000000000003,desi,4824162609.704921,69456.63359520043,50.0,ab,3.0822496093136564
-17.6,desi,5055662893.421642,71103.77894434598,50.0,ab,3.0313591852555994
-17.5,desi,5292943599.820691,72753.3203659868,50.0,ab,2.9815612893159518
-17.4,desi,5535646893.587263,74402.55231535406,50.0,ab,2.9328835058733986
-17.3,desi,5783415216.54951,76049.00386453653,50.0,ab,2.885343521758749
-17.200000000000003,desi,6035797911.31921,77690.41334589754,50.0,ab,2.8389677289531434
-17.1,desi,6292348919.733373,79324.70554988527,50.0,ab,2.793772462873161
-17.0,desi,6554481987.780457,80959.76011075213,50.0,ab,2.7494585192263266
-16.9,desi,6823135539.551092,82603.17346300941,50.0,ab,2.7058444588039734
-16.8,desi,7098459245.129308,84252.70989791256,50.0,ab,2.6628942219618636
-16.700000000000003,desi,7379802634.071717,85906.30373722999,50.0,ab,2.6206925870984
-16.6,desi,7667097065.478014,87562.04453855337,50.0,ab,2.5792270513915483
-16.5,desi,7959832505.400379,89218.16339027774,50.0,ab,2.53854463203918
-16.4,desi,8257926304.39577,90873.0202774104,50.0,ab,2.4986269480094236
-16.3,desi,8560892382.072186,92525.09247897001,50.0,ab,2.4595068609881032
-16.200000000000003,desi,8868508540.559467,94172.96394455039,50.0,ab,2.421177983555655
-16.1,desi,9180729547.283514,95815.31558981005,50.0,ab,2.3836114705126334
-16.0,desi,9496713116.726189,97450.91644678978,50.0,ab,2.3468711582083195
-15.9,desi,9816434301.921877,99078.61560393266,50.0,ab,2.3109200441845914
-15.8,desi,10139755918.913326,100697.33487163477,50.0,ab,2.275735702743848
-15.700000000000001,desi,10466435068.13295,102306.06211144802,50.0,ab,2.241307496280289
-15.600000000000001,desi,10797562639.67965,103910.59102596897,50.0,ab,2.20749012456724
-15.5,desi,11133602603.230162,105516.32018175593,50.0,ab,2.1742151656036484
-15.4,desi,11475087393.19708,107121.76064417549,50.0,ab,2.141414450623053
-15.3,desi,11821374243.390053,108725.51140625798,50.0,ab,2.109134538716699
-15.200000000000001,desi,12171986272.520174,110326.2528711563,50.0,ab,2.077400820313205
-15.100000000000001,desi,12526683590.59362,111922.7407472702,50.0,ab,2.0462141855681963
-15.0,desi,12885332887.14302,113513.80034463592,50.0,ab,2.0155653479268523
-14.9,desi,13247639611.562843,115098.32125731705,50.0,ab,1.9854581923788253
-14.8,desi,13613268873.520258,116675.25241391738,50.0,ab,1.9558983993329129
-14.700000000000001,desi,13981532432.71525,118243.59747672084,50.0,ab,1.9269175189016998
-14.600000000000001,desi,14352478118.145254,119802.41056910115,50.0,ab,1.898487221511676
-14.5,desi,14725722123.490873,121350.79231056562,50.0,ab,1.870612952498039
-14.4,desi,15101290490.722198,122887.88613894794,50.0,ab,1.8432693005438203
-14.3,desi,15478459953.626633,124412.87489973474,50.0,ab,1.8164850853188632
-14.200000000000001,desi,15858388665.629784,125929.96424606211,50.0,ab,1.7901568111420723
-14.100000000000001,desi,16241809865.718227,127443.37328518383,50.0,ab,1.764218399723621
-14.0,desi,16628636027.90124,128952.35952702741,50.0,ab,1.7386628863919746
-13.9,desi,17018856086.576305,130456.21443132387,50.0,ab,1.7134785404053403
-13.8,desi,17412011239.018463,131954.26121081592,50.0,ab,1.6886821080143868
-13.700000000000001,desi,17807532370.041267,133445.85276547103,50.0,ab,1.6642950988789806
-13.600000000000001,desi,18206390819.055923,134930.36974113813,50.0,ab,1.640244802352175
-13.5,desi,18606682237.23514,136407.21870603337,50.0,ab,1.6166321028878272
-13.4,desi,19009981001.892376,137875.8304384926,50.0,ab,1.5933502479375399
-13.3,desi,19414244902.32238,139335.65831953884,50.0,ab,1.5705031956432407
-13.200000000000001,desi,19820795231.180832,140786.17682398923,50.0,ab,1.5480017679165208
-13.100000000000001,desi,20228402747.13418,142226.88010403275,50.0,ab,1.5259004754388847
-13.0,desi,20637121027.347256,143657.28065944763,50.0,ab,1.5041816772517862
-12.9,desi,21047359080.24495,145076.908088885,50.0,ab,1.482810428940983
-12.8,desi,21458242491.560097,146486.5403653165,50.0,ab,1.4618190830883258
-12.700000000000001,desi,21871007553.303978,147887.63991878202,50.0,ab,1.4411324786154083
-12.600000000000001,desi,22284781289.319233,149280.75804388156,50.0,ab,1.4207835147327934
-12.5,desi,22700190166.283333,150666.4243164575,50.0,ab,1.4007307164857572
-12.4,desi,23118037511.603203,152045.14785773872,50.0,ab,1.3809270448220765
-12.3,desi,23536920556.619026,153417.4184972552,50.0,ab,1.3614303513358301
-12.200000000000001,desi,23957994881.619743,154783.7078442992,50.0,ab,1.3421782855550681
-12.100000000000001,desi,24381184476.18447,156144.47027661768,50.0,ab,1.3231674537885745
-12.0,desi,24806266091.20356,157500.14385406766,50.0,ab,1.3044009601254167
-11.9,desi,25233397507.294895,158851.15116413354,50.0,ab,1.2858651318282064
-11.8,desi,25663032980.88212,160197.90010547047,50.0,ab,1.2675344998274056
-11.700000000000001,desi,26095447248.347893,161540.78461499832,50.0,ab,1.249392593535994
-11.600000000000001,desi,26529819851.871353,162880.18534350026,50.0,ab,1.231468702647529
-11.5,desi,26966899074.65388,164216.47028418008,50.0,ab,1.213726930605226
-11.4,desi,27406272037.744686,165548.59039263733,50.0,ab,1.1961795443731376
-11.3,desi,27847688437.474003,166875.5591883852,50.0,ab,1.1788315766026436
-11.200000000000001,desi,28290366939.39843,168197.81830255076,50.0,ab,1.1617080037993048
-11.100000000000001,desi,28735415637.769714,169515.79516875622,50.0,ab,1.1447607468378926
-11.0,desi,29182712830.44195,170829.9036852493,50.0,ab,1.1279903012178742
-10.9,desi,29632650681.944595,172140.5448312136,50.0,ab,1.1113782013812035
-10.8,desi,30084343340.858788,173448.10724111102,50.0,ab,1.0949531138751247
-10.700000000000001,desi,30538870464.42988,174752.96774053358,50.0,ab,1.0786720304247623
-10.600000000000001,desi,30995588045.386295,176055.4918467151,50.0,ab,1.0625547546439051
-10.5,desi,31455109615.4362,177356.0342365608,50.0,ab,1.0465764476378077
-10.4,desi,31917274109.492893,178654.93918478632,50.0,ab,1.0307399715421397
-10.3,desi,32382973121.2804,179952.54097452798,50.0,ab,1.0150126566245028
-10.200000000000001,desi,32851135789.855556,181249.16428257085,50.0,ab,0.9994284815872554
-10.100000000000001,desi,33322577526.002396,182545.12454115247,50.0,ab,0.9839579874605526
-10.0,desi,33796816392.20782,183839.51953806766,50.0,ab,0.9686149742026764
-9.900000000000002,desi,34273787883.648407,185131.424510832,50.0,ab,0.9533991935269697
-9.8,desi,34752889504.33158,186421.1085491887,50.0,ab,0.9383271562091231
-9.7,desi,35234596699.917435,187708.83326199563,50.0,ab,0.9233811928765299
