time-rel	g	r	i
0.0	17.4651	17.2668	17.2846
0.5	17.466441411564624	17.267450510204082	17.284827465986396
1.0	17.46778282312925	17.268101020408164	17.28505493197279
1.5	17.469124234693876	17.268751530612246	17.285282397959186
2.0	17.470465646258504	17.269402040816328	17.285509863945578
2.5	17.471807057823128	17.27005255102041	17.285737329931973
3.0	17.473148469387755	17.270703061224488	17.285964795918368
3.5	17.47448988095238	17.27135357142857	17.286192261904763
4.0	17.475831292517007	17.27200408163265	17.286419727891158
4.5	17.47717270408163	17.272654591836734	17.286647193877553
5.0	17.47851411564626	17.273305102040815	17.286874659863948
5.5	17.479855527210884	17.273955612244897	17.287102125850343
6.0	17.481196938775508	17.27460612244898	17.287329591836734
6.5	17.482538350340135	17.27525663265306	17.28755705782313
7.0	17.48387976190476	17.275907142857143	17.287784523809524
7.5	17.485221173469387	17.276557653061225	17.28801198979592
8.0	17.48656258503401	17.277208163265307	17.288239455782314
8.5	17.48790399659864	17.27785867346939	17.28846692176871
9.0	17.489245408163264	17.27850918367347	17.288694387755104
9.5	17.49058681972789	17.27915969387755	17.2889218537415
10.0	17.491928231292516	17.27981020408163	17.28914931972789
10.5	17.49326964285714	17.280460714285713	17.289376785714285
11.0	17.494611054421767	17.281111224489795	17.28960425170068
11.5	17.49595246598639	17.281761734693877	17.289831717687075
12.0	17.49729387755102	17.28241224489796	17.29005918367347
12.5	17.498635289115644	17.28306275510204	17.290286649659866
13.0	17.49997670068027	17.283713265306123	17.29051411564626
13.5	17.501318112244896	17.284363775510204	17.290741581632656
14.0	17.502659523809523	17.285014285714286	17.290969047619047
14.5	17.504000935374147	17.28566479591837	17.291196513605442
15.0	17.505342346938775	17.286315306122447	17.291423979591837
15.5	17.5066837585034	17.28696581632653	17.291651445578232
16.0	17.508025170068024	17.28761632653061	17.291878911564627
16.5	17.50936658163265	17.288266836734692	17.292106377551022
17.0	17.510707993197276	17.288917346938774	17.292333843537417
17.5	17.512049404761903	17.289567857142856	17.292561309523812
18.0	17.513390816326527	17.290218367346938	17.292788775510203
18.5	17.514732227891155	17.29086887755102	17.2930162414966
19.0	17.51607363945578	17.291519387755102	17.293243707482993
19.5	17.517415051020407	17.292169897959184	17.29347117346939
20.0	17.51875646258503	17.292820408163266	17.293698639455783
20.5	17.520097874149656	17.293470918367348	17.29392610544218
21.0	17.521439285714283	17.29412142857143	17.294153571428573
21.5	17.522780697278908	17.294771938775508	17.29438103741497
22.0	17.524122108843535	17.29542244897959	17.29460850340136
22.5	17.52546352040816	17.29607295918367	17.294835969387755
23.0	17.526804931972787	17.296723469387754	17.29506343537415
23.5	17.52814634353741	17.297373979591836	17.295290901360545
24.0	17.52869843527738	17.29758065433855	17.295304267425323
24.5	17.52921763869132	17.297768835941206	17.29530871266003
25.0	17.52973684210526	17.297957017543858	17.29531315789474
