#Days 	 2Msun MS 	 6Msun MS 	 1Msun RG
0.05	9.75494150165	13.2772181862	24.2038980958 
0.15	9.73440926092	13.6136199431	26.2655565122 
0.25	9.46857336965	13.8508134424	28.9358449951 
0.35	9.08431037979	14.0671445352	32.4194133147 
0.45	8.96675306885	14.9216490622	38.4608862505 
0.55	9.32964103493	16.9049928947	47.9900372003 
0.65	10.3028889589	20.432852001	61.7672255667 
0.75	11.8489605421	25.4499466224	79.8511297358 
0.85	13.7320393817	31.2567491787	101.050727773 
0.95	15.9555740402	37.8331601725	125.964096274 
1.05	18.5922489675	45.0887796145	154.636183317 
1.15	20.6637733404	49.6718241346	174.979699478 
1.25	20.83711285	48.1253929432	173.958747741 
1.35	18.9297937046	41.4433831254	153.203531454 
1.45	15.8130953791	33.1860741055	124.06909533 
1.55	13.1332598962	27.017992969	100.835312862 
1.65	10.9987653418	22.6056641021	83.7319045282 
1.75	8.89964402875	18.5370879187	68.2657038987 
1.85	6.74050553234	14.3869024734	52.641907712 
1.95	4.92560442286	10.7850131127	39.1876196622 
2.05	3.75431035547	8.29541495203	30.0051054495 
2.15	3.01755588543	6.57008569883	23.6535347012 
2.25	2.53060019868	5.31285495121	19.0779213041 
2.35	2.21464877213	4.39862178322	15.7961932311 
2.45	1.99155822165	3.72097136559	13.3632848545 
2.55	1.80663985703	3.20161360638	11.502315081 
2.65	1.6366174308	2.79999539866	9.97933280668 
2.75	1.48887294906	2.47665534883	8.62838386742 
2.85	1.37641783036	2.20354281685	7.44722920368 
2.95	1.29846973469	1.98656852847	6.47472849154 
3.05	1.24344370842	1.81828280344	5.69786469788 
3.15	1.20306436075	1.68838677517	5.09763238082 
3.25	1.16150458517	1.57546089421	4.59473929378 
3.35	1.11825623876	1.48363599094	4.18304021823 
3.45	1.09047951171	1.43355837778	3.89458038571 
3.55	1.07993979564	1.41280974024	3.67289147063 
3.65	1.08497893924	1.399579517	3.47280487109 
3.75	1.09430370304	1.38632350499	3.28833638163 
3.85	1.09771398398	1.372618002	3.11319953789 
3.95	1.09693500278	1.34668747893	2.94355941558 
4.05	1.09036473275	1.31136379798	2.7798940141 
4.15	1.07969488343	1.27832099198	2.63020696024 
4.25	1.07397244366	1.25341310272	2.5047899184 
4.35	1.06960570054	1.22508058434	2.38140307118 
4.45	1.06126627152	1.17968305236	2.24348064459 
4.55	1.05633493062	1.12609822969	2.1215021338 
4.65	1.05750551058	1.07547193987	2.04159088116 
4.75	1.06669248569	1.03716326961	2.00924495693 
4.85	1.08067246254	1.01789905183	2.00569752901 
4.95	1.09084399246	1.02338450275	1.99064743332 
5.05	1.09024662799	1.04657296954	1.93403398329 
5.15	1.07737276829	1.06984474859	1.83524101663 
5.25	1.05851216023	1.08944840159	1.72241817271 
5.35	1.03926924209	1.11012718772	1.63059775318 
5.45	1.01960598687	1.12566122227	1.57567635025 
5.55	1.00271542386	1.12409773295	1.55235392264 
5.65	1.00018012654	1.1044247029	1.53816386199 
5.75	1.01701818428	1.07751268328	1.50961712036 
5.85	1.04699494472	1.0571433008	1.46573027815 
5.95	1.07946204818	1.04898014071	1.41674346568 
6.05	1.10562010246	1.05214449925	1.37296365673 
6.15	1.11675719787	1.06449551931	1.34387241926 
6.25	1.10969812387	1.07488727342	1.34135067327 
6.35	1.09402172951	1.07426460935	1.36305985356 
6.45	1.08298278426	1.06469225953	1.38764229049 
6.55	1.08241402212	1.05806868829	1.39084489386 
6.65	1.08805399061	1.06550871236	1.37201550517 
6.75	1.09584136256	1.08890533683	1.35148094715 
6.85	1.1011287428	1.123435251	1.33712338646 
6.95	1.10090582715	1.15772600599	1.33579740025 
7.05	1.09618564268	1.18098826453	1.34950202783 
7.15	1.08621355118	1.18456030089	1.36541791528 
7.25	1.07224405143	1.17027388502	1.3625061521 
7.35	1.05629876295	1.14459866481	1.33088583574 
7.45	1.03658574038	1.11641809226	1.28222643612 
7.55	1.01712301856	1.09600500207	1.23821530766 
7.65	1.00422073729	1.08722783525	1.21104946438 
7.75	0.997822372457	1.08657385114	1.19438846009 
7.85	1.00376756677	1.09195047793	1.18766881414 
7.95	1.02265205863	1.10300108301	1.19138621414 
8.05	1.04547109714	1.11298330807	1.20181925238 
8.15	1.06883886958	1.11721138698	1.21887119658 
8.25	1.09131323693	1.11465149407	1.24067514006 
8.35	1.11019154977	1.10983455054	1.26213882702 
8.45	1.12252115385	1.10551125219	1.27613374503 
8.55	1.1236742993	1.10115234469	1.27485870402 
8.65	1.11572666158	1.09879619792	1.26123288493 
8.75	1.10411335707	1.10320089766	1.24696518826 
8.85	1.09123295872	1.11603164892	1.23873443605 
8.95	1.08527265396	1.12952811155	1.24010403429 
9.05	1.09441677324	1.13323996042	1.24422483387 
9.15	1.11507446553	1.12613063144	1.24001064202 
9.25	1.13338947932	1.11072728603	1.21960009427 
9.35	1.13766604603	1.0884298751	1.18226993301 
9.45	1.12955275499	1.06649626487	1.13689711085 
9.55	1.1135984952	1.05590252864	1.10162460869 
9.65	1.09010387747	1.06631091632	1.0943564026 
9.75	1.06032273087	1.10324896902	1.12930763624 
9.85	1.02492527842	1.16364129498	1.21280415851 
9.95	0.983924504736	1.24140167439	1.33245484331 
