time,band,flux,fluxerr,zp,zpsys,mag
-18.1,desg,341816130.33867544,18489.808276206324,50.0,ab,5.307456749344961
-18.0,desg,435613980.7943969,20872.164852545866,50.0,ab,5.044183608136898
-17.9,desg,535666151.23699766,23145.301594905683,50.0,ab,4.819702622129309
-17.8,desg,641758174.1480192,25332.915624164063,50.0,ab,4.623509609925659
-17.700000000000003,desg,753465162.3551872,27450.183842840528,50.0,ab,4.449280190450949
-17.6,desg,870583203.1941867,29507.344271242087,50.0,ab,4.292412423176248
-17.5,desg,992967313.6892282,31511.575268413148,50.0,ab,4.149600750752878
-17.4,desg,1120092915.1260362,33468.0603850866,50.0,ab,4.018803006976629
-17.3,desg,1251737769.9486692,35380.62858597454,50.0,ab,3.898154740430744
-17.200000000000003,desg,1387687705.3531332,37252.157770547645,50.0,ab,3.786208781167403
-17.1,desg,1527541771.4516168,39084.83909749877,50.0,ab,3.681955394786808
-17.0,desg,1672455958.3036115,40895.97787440518,50.0,ab,3.5835514073284322
-16.9,desg,1823231218.6678493,42700.15208719044,50.0,ab,3.489833761178776
-16.8,desg,1979792133.0850837,44495.3376620085,50.0,ab,3.400389147008976
-16.700000000000003,desg,2141761330.9665968,46279.82004013639,50.0,ab,3.315010449496146
-16.6,desg,2308949044.5525723,48052.13290402095,50.0,ab,3.233402260722684
-16.5,desg,2481155824.2868495,49811.010380976026,50.0,ab,3.155303032094519
-16.4,desg,2657826402.3043485,51555.349470973,50.0,ab,3.0806216042681918
-16.3,desg,2839283009.7458158,53284.18028655174,50.0,ab,3.0089164234445143
-16.200000000000003,desg,3024616914.897792,54996.64230535535,50.0,ab,2.9402621910664912
-16.1,desg,3214007687.4740634,56691.96528360286,50.0,ab,2.8743208545135523
-16.0,desg,3406954092.8753695,58369.453808088205,50.0,ab,2.8110224282929472
-15.9,desg,3603358860.669089,60028.47470790712,50.0,ab,2.7501693427093166
-15.8,desg,3802866520.687533,61668.44672853236,50.0,ab,2.6916604272911258
-15.700000000000001,desg,4005504625.392284,63288.832006865414,50.0,ab,2.6352950385743092
-15.600000000000001,desg,4211680483.185137,64897.87238550178,50.0,ab,2.5807995918898428
-15.5,desg,4422702529.656672,66503.1357813125,50.0,ab,2.527718808102918
-15.4,desg,4638079282.230329,68103.20865035347,50.0,ab,2.4760927122884766
-15.3,desg,4857600970.622079,69696.80627743596,50.0,ab,2.425883540874988
-15.200000000000001,desg,5081243650.4690275,71282.75727749424,50.0,ab,2.3770130819115884
-15.100000000000001,desg,5308645645.083577,72859.99007568331,50.0,ab,2.3294787902166654
-15.0,desg,5539380813.426908,74427.5211023842,50.0,ab,2.28328507644823
-14.9,desg,5773711592.913048,75984.44447296824,50.0,ab,2.238300416743847
-14.8,desg,6010848475.576028,77529.922952495,50.0,ab,2.1945986820255357
-14.700000000000001,desg,6250968523.370273,79063.1800324298,50.0,ab,2.152069852452577
