#Combined snIa Template with 2ms Kasen Models
#Days 	 g-band MS 	 r-band MS 	 i-band
-1.34784735812	3.93340537632	5.22444549163	5.48795442644 
-1.2	3.99257521765	5.36728834536	5.61639369622 
-1.1	4.0303084459	5.47444670558	5.73322460412 
-1.0	4.04026671344	5.63382320457	5.84682282321 
-0.9	4.03530615056	5.82160968073	5.98474955366 
-0.8	4.06118516404	6.02320192315	6.21144398587 
-0.7	4.14428037309	6.26234180607	6.55820751473 
-0.6	4.29203648402	6.52050896507	6.92896018621 
-0.5	4.48386046785	6.74594889788	7.18968385929 
-0.4	4.68401833401	6.92954816576	7.35854458043 
-0.3	4.88698271602	7.09966826357	7.42033710755 
-0.2	5.09305234655	7.26513512488	7.36846669954 
-0.1	5.24776750291	7.43628974901	7.25769135377 
0.0	5.29685818743	7.59328257232	7.15197217113 
0.1	5.23264992929	7.6891993322	7.05235338427 
0.2	5.07734835136	7.73939658366	6.98339974288 
0.3	4.91575837055	7.77494296184	6.96404473264 
0.374266144814	4.80246491598	7.80062095867	6.9997190776 
0.4	4.76549790654	7.80951860448	7.01208054365 
0.5	4.58448989197	7.80655651651	7.10170070568 
0.6	4.33170971273	7.74508305463	7.12618517979 
0.7	4.04004760225	7.632498953	7.0953605133 
0.8	3.79414444109	7.48330994183	7.07076583761 
0.9	3.60587755462	7.34847359699	7.05926843766 
1.0	3.46371833092	7.26431480504	7.08115143767 
1.1	3.36784187312	7.22857995869	7.12226517991 
1.2	3.3014824781	7.23034636695	7.18495437854 
1.3	3.24459916486	7.26399618061	7.28123897241 
1.4	3.18620836463	7.31696394209	7.37445489451 
1.5	3.1324047692	7.38781219327	7.43264166889 
1.6	3.09605663231	7.46439362876	7.45423162029 
1.66585127202	3.08658991301	7.51057734898	7.45883734855 
1.7	3.08046511845	7.539495653	7.46538158087 
1.8	3.07881136471	7.60731000715	7.52182320293 
1.9	3.08832869711	7.66864956386	7.60491513392 
2.0	3.09551936618	7.72464563725	7.71661541092 
2.1	3.09968087079	7.79002729122	7.85375559976 
2.2	3.11773182371	7.88894124025	8.00308574507 
2.3	3.15254741237	8.03324733824	8.15525199717 
2.4	3.20296232124	8.21625959879	8.31955436531 
2.5	3.25761422471	8.4099775945	8.50235697 
2.6	3.30635304617	8.5861717746	8.71077958841 
2.7	3.35094279293	8.73858246222	8.94648800699 
2.74217221135	3.36732153282	8.79376376838	9.05220933445 
2.8	3.40470478982	8.86943001418	9.1971775584 
2.9	3.46519649035	8.98571403056	9.43175459901 
3.0	3.53059531007	9.09926324275	9.60536850622 
3.1	3.59734031901	9.22663841451	9.71145013588 
3.2	3.66001053418	9.36771341723	9.78209806534 
3.3	3.72612231453	9.50527750017	9.84938900364 
3.38796477495	3.78978336978	9.62401215066	9.92084778971 
3.4	3.80036773872	9.6402572697	9.93062468703 
3.5	3.89650165443	9.78122756801	10.0323580183 
3.6	3.99738120191	9.93383362294	10.1541941461 
3.7	4.09429502415	10.0895468854	10.2748425525 
3.8	4.18044271818	10.2225806972	10.3812845207 
3.81849315068	4.19409908317	10.2395263601	10.4021140521 
3.9	4.25428824738	10.3142128005	10.5006477725 
4.0	4.32185531529	10.3768925258	10.6679401696 
4.1	4.38867829615	10.437381913	10.8347997056 
4.2	4.45468147702	10.520882187	10.9915717316 
4.24902152642	4.48831304839	10.5819108588	11.06810305 
4.3	4.50797567708	10.6453758049	11.1476895108 
4.4	4.56193414878	10.7883832742	11.313980369 
4.5	4.63676754971	10.9559393257	11.4949345466 
4.6	4.72501437393	11.1112035291	11.6912000271 
4.7	4.81487851478	11.2549953427	11.9083025326 
4.8	4.89758204381	11.4044701438	12.143414344 
4.9	4.96517128622	11.5784765186	12.3717130831 
5.0	5.01499367267	11.7736808677	12.5646684996 
5.1	5.05625357113	11.973913498	12.7268679731 
5.11007827789	5.06085895811	11.9937506781	12.7416335198 
5.2	5.23098905653	12.1707445477	12.8733766019 
5.3	5.43062768497	12.3560238701	12.9983810619 
5.32534246575	5.48279555051	12.4022824172	13.0259439159 
5.4	5.52485961779	12.5385575962	13.1071425941 
5.5	5.5833028291	12.7319301066	13.2209870805 
5.6	5.6392289594	12.9304131297	13.3610351297 
5.7	5.6897092421	13.1172335314	13.5430800383 
5.8	5.73574419439	13.2754333568	13.7551865977 
5.9	5.77652206636	13.4057328466	13.9749367011 
6.0	5.81316824328	13.5218174146	14.2121504641 
6.1	5.84760116185	13.6314642359	14.4718597013 
6.2	5.877847414	13.7424558932	14.7204919872 
6.3	5.90796815029	13.8638259777	14.9333952964 
6.4	5.9448075108	14.0018362445	15.1031535851 
6.40166340509	5.94553542076	14.004408955	15.1054516059 
6.5	5.97806617735	14.156501546	15.2413051849 
6.6	6.02453688029	14.3221763104	15.364717238 
6.7	6.0847946241	14.5033629224	15.4823543879 
6.8	6.14877585768	14.6999794685	15.6146646234 
6.9	6.21279727666	14.8957252141	15.7830101639 
7.0	6.27541113505	15.0771780468	15.9827699887 
7.1	6.33405326975	15.2499417671	16.1950497061 
7.2	6.38606570998	15.4078890548	16.4099841929 
7.3	6.42720139307	15.5709931417	16.6206821173 
7.4	6.45951570018	15.7608821207	16.8158873399 
7.5	6.48817623042	15.969051666	16.9800039859 
