#Combined snIa Template with 1rg Kasen Models
#Days 	 g-band MS 	 r-band MS 	 i-band
-1.24784735812	4.92005699236	7.14620769255	6.55546205794 
-1.1	4.97922683369	7.28905054628	6.68390132771 
-1.0	5.10800096045	7.42153101557	6.99035640155 
-0.9	5.2531457648	7.57069480095	7.37631680611 
-0.8	5.41658911835	7.69804011635	7.79072493208 
-0.7	5.64214535737	7.82566806183	8.23230140492 
-0.6	5.92249575391	8.00230986159	8.66909785465 
-0.5	6.23653417191	8.2295958327	8.9949095815 
-0.4	6.55536249705	8.45700484297	9.15155920807 
-0.3	6.85102934756	8.66137057639	9.24354631806 
-0.2	7.13031856997	8.85436730358	9.28805872832 
-0.1	7.39300033573	9.02909418631	9.27480435609 
-1.33226762955e-15	7.56721259507	9.18652892179	9.23078053385 
0.1	7.60088000967	9.3145844345	9.19579101856 
0.2	7.50295716713	9.37609121748	9.15191126823 
0.3	7.313965164	9.38739496936	9.10641656522 
0.4	7.12885864916	9.38707453443	9.07204425382 
0.474266144814	7.0087084273	9.39191027488	9.0769172969 
0.5	6.96936548928	9.39358590035	9.07860584806 
0.6	6.79656473383	9.37265881937	9.12685824455 
0.7	6.56330758769	9.29411584692	9.12559801386 
0.8	6.29177098668	9.16000437523	9.07917742113 
0.9	6.05080690618	8.9803973543	9.04781363932 
1.0	5.84147937299	8.80377475978	9.00868496915 
1.1	5.65698711893	8.66320084155	8.94861798402 
1.2	5.50096081757	8.55076168382	8.87410490335 
1.3	5.36828302517	8.46597835062	8.80195980522 
1.4	5.25438334693	8.41731365288	8.74459346066 
1.5	5.14909419986	8.39533234285	8.68317209715 
1.6	5.04008431605	8.38266988057	8.60433099511 
1.7	4.9291677084	8.37000388633	8.52260134134 
1.76585127202	4.86133256147	8.36188006726	8.48357729052 
1.8	4.82493944411	8.36263591777	8.46749627336 
1.9	4.73152637218	8.35207424456	8.48248826813 
2.0	4.65602782526	8.35177553323	8.55044920971 
2.1	4.58861923098	8.37794347767	8.67490071153 
2.2	4.53205764675	8.44132206325	8.82033692888 
2.3	4.4998397286	8.5415876607	8.95032126839 
2.4	4.48156878865	8.66424874675	9.04841467932 
2.5	4.46611000601	8.7890181603	9.11997757124 
2.6	4.45221014625	8.89232738989	9.19225671286 
2.7	4.43814744745	8.96482669113	9.29663096091 
2.8	4.42267257185	9.0327295658	9.44856360835 
2.84217221135	4.41560833905	9.07643083604	9.53112236139 
2.9	4.42084589567	9.13635531564	9.64432937541 
3.0	4.43191868884	9.27620600884	9.84973007672 
3.1	4.450040731	9.42696440587	10.0126829475 
3.2	4.4663633203	9.57944843333	10.1307174684 
3.3	4.47275544686	9.72213054402	10.2578224379 
3.4	4.48322689389	9.84008822063	10.4273062854 
3.48796477495	4.50916039899	9.92612704999	10.6078441496 
3.5	4.51458293403	9.9378987697	10.6325451032 
3.6	4.58398578252	10.0365566198	10.8441441621 
3.7	4.66880958803	10.14713166	11.034113241 
3.8	4.74737428428	10.2634405528	11.181963276 
